STITCH,Gene
CID100002791,6257
CID100002791,8856
CID100002791,2104
CID000002536,5340
CID000002536,3816
CID000002536,11223
CID000002536,4485
CID000077992,3351
CID000077992,3350
CID000077992,3352
CID000002083,1269
CID000002083,124274
CID000002083,2849
CID000002083,2847
CID000002083,2844
CID000002083,2845
CID000002083,2842
CID000002083,54112
CID000002083,136
CID000002083,135
CID000002083,134
CID000002083,10692
CID000002083,9287
CID000002083,9283
CID000002083,4985
CID000002083,4987
CID000002083,10663
CID000002083,4988
CID000002083,27201
CID000002083,4889
CID000002083,221391
CID000002083,2850
CID000002083,84539
CID000002083,84634
CID000002083,4887
CID000002083,54329
CID000002083,54328
CID000002083,10886
CID000002083,10887
CID000002083,729230
CID000002083,23566
CID000002083,10888
CID000002083,9170
CID000002083,6010
CID000002083,56923
CID000002083,2798
CID000002083,128674
CID000002083,10803
CID000002083,319100
CID000002083,23596
CID000002083,94233
CID000002083,3274
CID000002083,285601
CID000002083,2827
CID000002083,53831
CID000002083,1902
CID000002083,338557
CID000002083,1234
CID000002083,1230
CID000002083,1813
CID000002083,1232
CID000002083,1233
CID000002083,1238
CID000002083,2837
CID000002083,2835
CID000002083,2834
CID000002083,2832
CID000002083,2831
CID000002083,2830
CID000002083,344561
CID000002083,2652
CID000002083,3354
CID000002083,5737
CID000002083,1241
CID000002083,8811
CID000002083,3351
CID000002083,83550
CID000002083,3350
CID000002083,623
CID000002083,2861
CID000002083,64106
CID000002083,3352
CID000002083,339403
CID000002083,153
CID000002083,7852
CID000002083,83873
CID000002083,152
CID000002083,155
CID000002083,9038
CID000002083,134864
CID000002083,64582
CID000002083,4829
CID000002083,5540
CID000002083,3361
CID000002083,3362
CID000002083,3363
CID000002083,186
CID000002083,187
CID000002083,185
CID000002083,2587
CID000002083,9293
CID000002083,5021
CID000002083,57007
CID000002083,4986
CID000002083,118442
CID000002083,8477
CID000002083,4157
CID000002083,84109
CID000002083,2925
CID000002083,5956
CID000002083,6752
CID000002083,6753
CID000002083,350383
CID000002083,6751
CID000002083,6754
CID000002083,6755
CID000002083,2693
CID000002083,151
CID000002083,150
CID000002083,2862
CID000002083,2863
CID000002083,887
CID000002083,886
CID000002083,554
CID000002083,4886
CID000002083,552
CID000002083,59340
CID000002083,3062
CID000002083,3061
CID000002083,4923
CID000002083,1816
CID000002083,5729
CID000002083,4161
CID000002083,4160
CID000002083,11245
CID000002083,7201
CID000002083,139760
CID000002083,146
CID000002083,147
CID000002083,134391
CID000002083,140
CID000002083,51289
CID000002083,611
CID000002083,148
CID000002083,3355
CID000002083,5734
CID000002083,3357
CID000002083,3356
CID000002083,5731
CID000002083,10316
CID000002083,5733
CID000002083,5732
CID000002083,5739
CID000002083,3358
CID000002083,23620
CID000002083,5995
CID000002083,56413
CID000002083,1812
CID000002083,6915
CID000002083,4158
CID000002083,4159
CID000002083,11250
CID000002083,1814
CID000002083,8484
CID000002083,81491
CID000002083,83551
CID000002083,680
CID000002083,11255
CID000002088,23590
CID000002088,2224
CID000002088,57107
CID000002088,23623
CID000002088,9453
CID000216416,2100
CID000216416,2099
CID000003658,3269
CID100004419,4988
CID100004419,4985
CID100004419,4986
CID000039468,153
CID000039468,155
CID000039468,3350
CID000159269,1633
CID000002802,2569
CID000002802,2568
CID000002802,2554
CID000002802,200959
CID000002802,2561
CID000002802,2560
CID000002802,2563
CID000002802,2562
CID000002802,2564
CID000002802,2570
CID000002803,1269
CID000002803,124274
CID000002803,2849
CID000002803,2847
CID000002803,2844
CID000002803,2845
CID000002803,2842
CID000002803,54112
CID000002803,136
CID000002803,135
CID000002803,134
CID000002803,10692
CID000002803,26
CID000002803,9287
CID000002803,9283
CID000002803,4985
CID000002803,4987
CID000002803,10663
CID000002803,4988
CID000002803,27201
CID000002803,4889
CID000002803,8639
CID000002803,221391
CID000002803,2850
CID000002803,84539
CID000002803,84634
CID000002803,4887
CID000002803,54329
CID000002803,54328
CID000002803,10886
CID000002803,10887
CID000002803,729230
CID000002803,23566
CID000002803,10888
CID000002803,9170
CID000002803,6010
CID000002803,56923
CID000002803,2798
CID000002803,128674
CID000002803,10803
CID000002803,319100
CID000002803,23596
CID000002803,94233
CID000002803,314
CID000002803,3274
CID000002803,285601
CID000002803,2827
CID000002803,53831
CID000002803,1902
CID000002803,338557
CID000002803,1234
CID000002803,6580
CID000002803,1230
CID000002803,1813
CID000002803,1232
CID000002803,1233
CID000002803,1238
CID000002803,2837
CID000002803,2835
CID000002803,2834
CID000002803,2832
CID000002803,2831
CID000002803,2830
CID000002803,344561
CID000002803,2652
CID000002803,3354
CID000002803,5737
CID000002803,1241
CID000002803,8811
CID000002803,3351
CID000002803,83550
CID000002803,3350
CID000002803,623
CID000002803,2861
CID000002803,64106
CID000002803,3352
CID000002803,339403
CID000002803,153
CID000002803,7852
CID000002803,83873
CID000002803,152
CID000002803,155
CID000002803,9038
CID000002803,134864
CID000002803,64582
CID000002803,4829
CID000002803,5540
CID000002803,3361
CID000002803,3362
CID000002803,3363
CID000002803,186
CID000002803,187
CID000002803,185
CID000002803,2587
CID000002803,9293
CID000002803,5021
CID000002803,57007
CID000002803,4986
CID000002803,118442
CID000002803,8477
CID000002803,4157
CID000002803,84109
CID000002803,2925
CID000002803,5956
CID000002803,6752
CID000002803,6753
CID000002803,350383
CID000002803,6751
CID000002803,6754
CID000002803,6755
CID000002803,2693
CID000002803,151
CID000002803,150
CID000002803,2862
CID000002803,2863
CID000002803,887
CID000002803,886
CID000002803,554
CID000002803,4886
CID000002803,552
CID000002803,59340
CID000002803,3062
CID000002803,3061
CID000002803,4923
CID000002803,1816
CID000002803,5729
CID000002803,4161
CID000002803,4160
CID000002803,11245
CID000002803,7201
CID000002803,139760
CID000002803,146
CID000002803,147
CID000002803,134391
CID000002803,140
CID000002803,51289
CID000002803,611
CID000002803,148
CID000002803,3355
CID000002803,5734
CID000002803,3357
CID000002803,3356
CID000002803,5731
CID000002803,10316
CID000002803,5733
CID000002803,5732
CID000002803,5739
CID000002803,3358
CID000002803,23620
CID000002803,5995
CID000002803,56413
CID000002803,1812
CID000002803,6915
CID000002803,4158
CID000002803,4159
CID000002803,11250
CID000002803,1814
CID000002803,8484
CID000002803,81491
CID000002803,83551
CID000002803,680
CID000002803,11255
CID100004993,1128
CID100004993,55244
CID100004993,7298
CID100004993,1719
CID100004993,3074
CID100004993,200895
CID100004993,146802
CID100004992,1128
CID100004992,150
CID100004992,1129
CID100004992,3757
CID100004992,59340
CID100004992,3061
CID100004992,6532
CID100004992,6531
CID100004992,3362
CID100004992,3363
CID100004992,1565
CID100004992,2587
CID100004992,140
CID100004992,1133
CID100004992,1132
CID100004992,1131
CID100004992,6915
CID100004992,3357
CID100004992,3356
CID100004992,3350
CID100004992,3269
CID100004992,3359
CID100004992,3358
CID100004992,11255
CID100004992,3274
CID100004991,590
CID100004991,221223
CID100004991,8824
CID100004991,57555
CID100004991,1056
CID100004991,23491
CID100004991,1066
CID100004991,57502
CID100004991,22871
CID100004991,22829
CID100004991,283848
CID100004991,54413
CID100003251,1269
CID100003251,124274
CID100003251,2849
CID100003251,2847
CID100003251,2844
CID100003251,2845
CID100003251,2842
CID100003251,54112
CID100003251,136
CID100003251,135
CID100003251,134
CID100003251,10692
CID100003251,9287
CID100003251,9283
CID100003251,4985
CID100003251,4987
CID100003251,10663
CID100003251,4988
CID100003251,27201
CID100003251,4889
CID100003251,221391
CID100003251,2850
CID100003251,84539
CID100003251,84634
CID100003251,4887
CID100003251,54329
CID100003251,54328
CID100003251,10886
CID100003251,10887
CID100003251,729230
CID100003251,23566
CID100003251,10888
CID100003251,9170
CID100003251,6010
CID100003251,56923
CID100003251,2798
CID100003251,128674
CID100003251,10803
CID100003251,1128
CID100003251,1129
CID100003251,319100
CID100003251,23596
CID100003251,94233
CID100003251,3274
CID100003251,285601
CID100003251,2827
CID100003251,53831
CID100003251,1902
CID100003251,338557
CID100003251,1234
CID100003251,1230
CID100003251,1813
CID100003251,1232
CID100003251,1233
CID100003251,1238
CID100003251,2837
CID100003251,2835
CID100003251,2834
CID100003251,2832
CID100003251,2831
CID100003251,2830
CID100003251,344561
CID100003251,2652
CID100003251,3354
CID100003251,5737
CID100003251,1241
CID100003251,8811
CID100003251,3351
CID100003251,83550
CID100003251,3350
CID100003251,623
CID100003251,2861
CID100003251,64106
CID100003251,3352
CID100003251,339403
CID100003251,153
CID100003251,7852
CID100003251,83873
CID100003251,152
CID100003251,155
CID100003251,9038
CID100003251,134864
CID100003251,64582
CID100003251,4829
CID100003251,5540
CID100003251,3361
CID100003251,3362
CID100003251,3363
CID100003251,186
CID100003251,187
CID100003251,185
CID100003251,2587
CID100003251,9293
CID100003251,5021
CID100003251,57007
CID100003251,4986
CID100003251,118442
CID100003251,8477
CID100003251,4157
CID100003251,84109
CID100003251,2925
CID100003251,5956
CID100003251,6752
CID100003251,6753
CID100003251,350383
CID100003251,6751
CID100003251,6754
CID100003251,6755
CID100003251,2693
CID100003251,151
CID100003251,150
CID100003251,2862
CID100003251,2863
CID100003251,887
CID100003251,886
CID100003251,554
CID100003251,4886
CID100003251,552
CID100003251,59340
CID100003251,3062
CID100003251,3061
CID100003251,4923
CID100003251,1816
CID100003251,5729
CID100003251,4161
CID100003251,4160
CID100003251,11245
CID100003251,7201
CID100003251,139760
CID100003251,146
CID100003251,147
CID100003251,134391
CID100003251,140
CID100003251,51289
CID100003251,611
CID100003251,148
CID100003251,3355
CID100003251,5734
CID100003251,3357
CID100003251,3356
CID100003251,5731
CID100003251,10316
CID100003251,5733
CID100003251,5732
CID100003251,5739
CID100003251,3358
CID100003251,23620
CID100003251,5995
CID100003251,56413
CID100003251,1812
CID100003251,6915
CID100003251,4158
CID100003251,4159
CID100003251,11250
CID100003251,680
CID100003251,1814
CID100003251,8484
CID100003251,81491
CID100003251,83551
CID100003251,1576
CID100003251,11255
CID000004235,4129
CID000004235,4128
CID000004935,4128
CID000004932,1544
CID000004932,155
CID000004932,3757
CID000004932,153
CID000004932,3362
CID000004932,1565
CID000004932,3357
CID000004932,3356
CID000004932,5243
CID000004932,6531
CID000004932,6331
CID000004932,3358
CID000004932,3350
CID000003954,1269
CID000003954,124274
CID000003954,2849
CID000003954,2847
CID000003954,2844
CID000003954,2845
CID000003954,2842
CID000003954,54112
CID000003954,136
CID000003954,135
CID000003954,134
CID000003954,10692
CID000003954,9287
CID000003954,9283
CID000003954,4985
CID000003954,4987
CID000003954,10663
CID000003954,4988
CID000003954,27201
CID000003954,4889
CID000003954,221391
CID000003954,2850
CID000003954,84539
CID000003954,84634
CID000003954,4887
CID000003954,54329
CID000003954,54328
CID000003954,10886
CID000003954,10887
CID000003954,729230
CID000003954,23566
CID000003954,10888
CID000003954,9170
CID000003954,6010
CID000003954,56923
CID000003954,2798
CID000003954,128674
CID000003954,10803
CID000003954,319100
CID000003954,23596
CID000003954,94233
CID000003954,3274
CID000003954,285601
CID000003954,2827
CID000003954,53831
CID000003954,1902
CID000003954,338557
CID000003954,1234
CID000003954,1230
CID000003954,1813
CID000003954,1232
CID000003954,1233
CID000003954,1238
CID000003954,2837
CID000003954,2835
CID000003954,2834
CID000003954,2832
CID000003954,2831
CID000003954,2830
CID000003954,344561
CID000003954,2652
CID000003954,5734
CID000003954,5737
CID000003954,5243
CID000003954,1241
CID000003954,8811
CID000003954,3351
CID000003954,83550
CID000003954,3350
CID000003954,623
CID000003954,2861
CID000003954,64106
CID000003954,3352
CID000003954,339403
CID000003954,153
CID000003954,7852
CID000003954,83873
CID000003954,152
CID000003954,6532
CID000003954,155
CID000003954,9038
CID000003954,134864
CID000003954,64582
CID000003954,4829
CID000003954,5540
CID000003954,3361
CID000003954,3362
CID000003954,3363
CID000003954,186
CID000003954,187
CID000003954,185
CID000003954,2587
CID000003954,9293
CID000003954,5021
CID000003954,57007
CID000003954,4986
CID000003954,118442
CID000003954,8477
CID000003954,4157
CID000003954,84109
CID000003954,2925
CID000003954,5956
CID000003954,6752
CID000003954,6753
CID000003954,350383
CID000003954,6751
CID000003954,6754
CID000003954,6755
CID000003954,2693
CID000003954,151
CID000003954,150
CID000003954,2862
CID000003954,2863
CID000003954,887
CID000003954,886
CID000003954,554
CID000003954,4886
CID000003954,552
CID000003954,59340
CID000003954,3062
CID000003954,3061
CID000003954,4923
CID000003954,1816
CID000003954,5729
CID000003954,4161
CID000003954,4160
CID000003954,11245
CID000003954,7201
CID000003954,139760
CID000003954,1565
CID000003954,146
CID000003954,147
CID000003954,134391
CID000003954,140
CID000003954,51289
CID000003954,611
CID000003954,148
CID000003954,3355
CID000003954,3354
CID000003954,3357
CID000003954,3356
CID000003954,5731
CID000003954,10316
CID000003954,5733
CID000003954,5732
CID000003954,5739
CID000003954,3358
CID000003954,23620
CID000003954,5995
CID000003954,56413
CID000003954,1812
CID000003954,6915
CID000003954,4158
CID000003954,4159
CID000003954,11250
CID000003954,1814
CID000003954,8484
CID000003954,81491
CID000003954,83551
CID000003954,680
CID000003954,11255
CID005381226,28234
CID005381226,834
CID005381226,6579
CID005381226,11309
CID005381226,10599
CID005381226,8856
CID000000271,127018
CID000000271,56985
CID000000271,55616
CID000000271,55617
CID000000271,55347
CID000000271,338339
CID000000271,4025
CID000000271,84911
CID000000271,28999
CID000000271,27289
CID000000271,101060200
CID000000271,55293
CID000000271,115817
CID000000271,5980
CID000000271,90333
CID000000271,55762
CID000000271,7511
CID000000271,55769
CID000000271,51061
CID000000271,360023
CID000000271,3991
CID000000271,51285
CID000000271,116412
CID000000271,51282
CID000000271,3689
CID000000271,4685
CID000000271,53904
CID000000271,55900
CID000000271,55907
CID000000271,6794
CID000000271,6793
CID000000271,6790
CID000000271,10960
CID000000271,84869
CID000000271,84868
CID000000271,6799
CID000000271,4831
CID000000271,27175
CID000000271,55582
CID000000271,5859
CID000000271,3775
CID000000271,260293
CID000000271,3778
CID000000271,270
CID000000271,271
CID000000271,272
CID000000271,4651
CID000000271,4521
CID000000271,276
CID000000271,277
CID000000271,278
CID000000271,279
CID000000271,3684
CID000000271,283871
CID000000271,57615
CID000000271,26153
CID000000271,26152
CID000000271,140894
CID000000271,90827
CID000000271,404281
CID000000271,389208
CID000000271,81629
CID000000271,51110
CID000000271,63934
CID000000271,200895
CID000000271,7884
CID000000271,57474
CID000000271,9252
CID000000271,124590
CID000000271,57473
CID000000271,22908
CID000000271,108
CID000000271,109
CID000000271,22901
CID000000271,100
CID000000271,101
CID000000271,57180
CID000000271,107
CID000000271,57182
CID000000271,378807
CID000000271,79818
CID000000271,2042
CID000000271,84124
CID000000271,163033
CID000000271,140456
CID000000271,84129
CID000000271,79814
CID000000271,85439
CID000000271,342908
CID000000271,26027
CID000000271,4144
CID000000271,124359
CID000000271,80110
CID000000271,10633
CID000000271,203611
CID000000271,10417
CID000000271,53353
CID000000271,9341
CID000000271,133690
CID000000271,11127
CID000000271,2736
CID000000271,22875
CID000000271,10383
CID000000271,10382
CID000000271,10381
CID000000271,9630
CID000000271,10000
CID000000271,2638
CID000000271,84698
CID000000271,7517
CID000000271,7264
CID000000271,84693
CID000000271,7263
CID000000271,6204
CID000000271,11072
CID000000271,167465
CID000000271,90317
CID000000271,2686
CID000000271,2687
CID000000271,90649
CID000000271,26974
CID000000271,654231
CID000000271,5292
CID000000271,254552
CID000000271,9745
CID000000271,285989
CID000000271,10565
CID000000271,80975
CID000000271,1991
CID000000271,1990
CID000000271,1992
CID000000271,10097
CID000000271,10096
CID000000271,10095
CID000000271,10094
CID000000271,1629
CID000000271,9184
CID000000271,3208
CID000000271,83479
CID000000271,79758
CID000000271,169841
CID000000271,285440
CID000000271,8833
CID000000271,558
CID000000271,283471
CID000000271,284312
CID000000271,10365
CID000000271,7678
CID000000271,7675
CID000000271,7673
CID000000271,7078
CID000000271,7079
CID000000271,7074
CID000000271,7076
CID000000271,7077
CID000000271,7071
CID000000271,83851
CID000000271,253650
CID000000271,147699
CID000000271,284307
CID000000271,147694
CID000000271,23057
CID000000271,4254
CID000000271,5533
CID000000271,5532
CID000000271,5531
CID000000271,5530
CID000000271,5536
CID000000271,5535
CID000000271,5534
CID000000271,5538
CID000000271,146909
CID000000271,1284
CID000000271,1287
CID000000271,8722
CID000000271,8702
CID000000271,728378
CID000000271,1282
CID000000271,11164
CID000000271,91664
CID000000271,1289
CID000000271,1288
CID000000271,91661
CID000000271,50700
CID000000271,1579
CID000000271,8766
CID000000271,688
CID000000271,1573
CID000000271,684
CID000000271,1571
CID000000271,29102
CID000000271,1577
CID000000271,1576
CID000000271,1349
CID000000271,127396
CID000000271,8382
CID000000271,23619
CID000000271,92797
CID000000271,51475
CID000000271,283659
CID000000271,8547
CID000000271,871
CID000000271,23617
CID000000271,79673
CID000000271,55110
CID000000271,7453
CID000000271,7450
CID000000271,123036
CID000000271,5624
CID000000271,158158
CID000000271,8493
CID000000271,8492
CID000000271,643418
CID000000271,143425
CID000000271,7690
CID000000271,7691
CID000000271,7692
CID000000271,400
CID000000271,2745
CID000000271,7699
CID000000271,643414
CID000000271,3834
CID000000271,3835
CID000000271,23474
CID000000271,158399
CID000000271,3832
CID000000271,374928
CID000000271,144348
CID000000271,4035
CID000000271,28983
CID000000271,4037
CID000000271,4036
CID000000271,4038
CID000000271,51279
CID000000271,92086
CID000000271,51274
CID000000271,51276
CID000000271,51277
CID000000271,379
CID000000271,378
CID000000271,131873
CID000000271,51076
CID000000271,7528
CID000000271,375
CID000000271,57722
CID000000271,377
CID000000271,55750
CID000000271,55244
CID000000271,51293
CID000000271,55930
CID000000271,340061
CID000000271,391
CID000000271,390
CID000000271,728116
CID000000271,399
CID000000271,54993
CID000000271,2308
CID000000271,6782
CID000000271,4729
CID000000271,4728
CID000000271,6786
CID000000271,84874
CID000000271,84870
CID000000271,4720
CID000000271,4723
CID000000271,4722
CID000000271,255631
CID000000271,93134
CID000000271,64841
CID000000271,2335
CID000000271,11284
CID000000271,3748
CID000000271,3749
CID000000271,3746
CID000000271,64114
CID000000271,3744
CID000000271,3745
CID000000271,3742
CID000000271,3743
CID000000271,3741
CID000000271,4620
CID000000271,4621
CID000000271,4622
CID000000271,4624
CID000000271,4626
CID000000271,4627
CID000000271,4628
CID000000271,4629
CID000000271,440387
CID000000271,117248
CID000000271,26140
CID000000271,140883
CID000000271,2271
CID000000271,124923
CID000000271,26149
CID000000271,7716
CID000000271,387496
CID000000271,51102
CID000000271,100529261
CID000000271,100132396
CID000000271,63904
CID000000271,7490
CID000000271,51109
CID000000271,9249
CID000000271,4318
CID000000271,57403
CID000000271,9534
CID000000271,57404
CID000000271,641339
CID000000271,199
CID000000271,175
CID000000271,174
CID000000271,173
CID000000271,3698
CID000000271,3699
CID000000271,2052
CID000000271,2054
CID000000271,2059
CID000000271,80108
CID000000271,3695
CID000000271,341640
CID000000271,3697
CID000000271,7980
CID000000271,9407
CID000000271,7988
CID000000271,10627
CID000000271,202559
CID000000271,9337
CID000000271,9331
CID000000271,10154
CID000000271,90075
CID000000271,22800
CID000000271,100289678
CID000000271,22807
CID000000271,64332
CID000000271,10398
CID000000271,22808
CID000000271,9627
CID000000271,9626
CID000000271,390980
CID000000271,353322
CID000000271,116115
CID000000271,54961
CID000000271,149041
CID000000271,63874
CID000000271,25864
CID000000271,2694
CID000000271,54413
CID000000271,204474
CID000000271,84064
CID000000271,84643
CID000000271,83592
CID000000271,6810
CID000000271,6815
CID000000271,83594
CID000000271,79400
CID000000271,170850
CID000000271,7322
CID000000271,256281
CID000000271,10085
CID000000271,3747
CID000000271,1960
CID000000271,1613
CID000000271,1962
CID000000271,168850
CID000000271,647174
CID000000271,91074
CID000000271,80818
CID000000271,285148
CID000000271,8226
CID000000271,29803
CID000000271,284541
CID000000271,89777
CID000000271,11337
CID000000271,23046
CID000000271,79633
CID000000271,8153
CID000000271,169792
CID000000271,9373
CID000000271,1544
CID000000271,1545
CID000000271,1543
CID000000271,1549
CID000000271,8710
CID000000271,284306
CID000000271,547
CID000000271,126070
CID000000271,549
CID000000271,284309
CID000000271,23604
CID000000271,7566
CID000000271,84671
CID000000271,7567
CID000000271,7564
CID000000271,8029
CID000000271,8531
CID000000271,8536
CID000000271,51440
CID000000271,7113
CID000000271,7442
CID000000271,11021
CID000000271,11020
CID000000271,7447
CID000000271,5613
CID000000271,7561
CID000000271,26251
CID000000271,414
CID000000271,415
CID000000271,284161
CID000000271,410
CID000000271,411
CID000000271,412
CID000000271,100287515
CID000000271,25953
CID000000271,28227
CID000000271,5715
CID000000271,374955
CID000000271,10212
CID000000271,2768
CID000000271,27035
CID000000271,65986
CID000000271,65989
CID000000271,65988
CID000000271,27034
CID000000271,26085
CID000000271,345062
CID000000271,7539
CID000000271,643246
CID000000271,51043
CID000000271,170591
CID000000271,51592
CID000000271,55033
CID000000271,5274
CID000000271,55922
CID000000271,55251
CID000000271,55929
CID000000271,7058
CID000000271,65217
CID000000271,9521
CID000000271,381
CID000000271,383
CID000000271,384
CID000000271,387
CID000000271,388
CID000000271,389
CID000000271,56907
